City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
558,San Ignacio,BZ,73.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
559,Cumbum,IN,70.65,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
562,Sao Gabriel Da Cachoeira,BR,75.88,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
567,Mayumba,GA,77.02,overcast clouds,-3.432,10.6554,LIKWALE LODGE
568,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
570,Grand-Bourg,GP,78.75,scattered clouds,15.8835,-61.3148,Coco Beach Resort
571,Auki,SB,86.77,broken clouds,-8.7676,160.7034,Auki Motel
576,Vizianagaram,IN,76.51,overcast clouds,18.1167,83.4167,Anupriya Residency
577,Ilheus,BR,80.42,clear sky,-14.7889,-39.0494,Barravento Hotel
578,Mozarlandia,BR,74.7,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
580,Sabang,ID,79.39,light rain,5.8933,95.3214,Hotel Citra
585,Vargem Grande Do Sul,BR,79.25,few clouds,-21.8322,-46.8936,Edícula Charmosa com Piscina e Jardim em Condomínio Fechado
586,Kovur,IN,74.82,overcast clouds,14.4833,79.9833,Hotel Yesh Park
587,General Roca,AR,70.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
591,Manoel Urbano,BR,74.44,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
593,Qui Nhon,VN,74.64,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
597,Haimen,CN,71.49,clear sky,23.1935,116.6142,Jinghao Business Hotel
599,Babu,CN,74.77,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
601,Majagual,CO,76.21,broken clouds,8.5389,-74.6204,Achi bolivar
602,Mareeba,AU,84.33,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
609,Mana,GF,79.14,overcast clouds,5.6592,-53.7767,LE SAMANA
614,Labuhan,ID,80.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
619,Kroya,ID,80.06,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
622,Sambava,MG,71.15,scattered clouds,-14.2667,50.1667,Melrose
623,Harper,LR,78.42,broken clouds,4.375,-7.7169,Screensaver
626,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
627,Banyumas,ID,80.26,overcast clouds,-7.5142,109.2942,Hadipriyanto Homestay
628,Gallup,US,70.56,clear sky,35.5281,-108.7426,El Capitan Motel
631,Basco,PH,82.09,broken clouds,20.4487,121.9702,Nathaniel's Lodge
632,Bantogon,PH,81.95,broken clouds,6.5333,124.0333,Kalamansig Greenhome
633,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
635,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
636,Sonoita,MX,91.53,scattered clouds,31.85,-112.8333,Hotel Nora
641,Trincomalee,LK,77.65,overcast clouds,8.5711,81.2335,Welcombe Hotel
646,Toamasina,MG,75.2,broken clouds,-18.1667,49.3833,Hotel H1
653,Gambela,ET,71.35,broken clouds,8.25,34.5833,Solomon Debebe Hotel
654,Trinidad,BO,80.58,moderate rain,-14.8333,-64.9,Hotel Piesta
655,Tucumcari,US,76.84,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
656,Nouakchott,MR,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
657,Sao Felix Do Xingu,BR,76.06,moderate rain,-6.6447,-51.995,Rio Xingu Camping
663,Tello,CO,74.97,scattered clouds,3.0669,-75.1378,Luis fernando cruz triana
665,Dicabisagan,PH,82.18,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
666,Kiunga,PG,77.04,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
667,Bambanglipuro,ID,80.76,overcast clouds,-7.95,110.2833,Puri Brata
668,Kita,ML,82.15,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
669,Male,MV,80.55,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
676,Camapua,BR,81.45,broken clouds,-19.5314,-54.0439,Comercial Estrela
677,Johi,PK,75.9,scattered clouds,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
